dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.248571,0.498163,5.437500,1.500000,0.000000,0.000000,0.909748
0.050000,5.294718,0.557286,5.512500,1.500000,0.000000,0.000000,0.904473
0.050000,5.341509,0.615899,5.587500,1.500000,0.000000,0.000000,0.887753
0.050000,5.389616,0.673434,5.662500,1.500000,0.000000,0.000000,0.858992
0.050000,5.439714,0.729241,5.737500,1.500000,0.000000,0.000000,0.817256
0.050000,5.492465,0.782540,5.812500,1.500000,0.000000,0.000000,0.761423
0.050000,5.546671,0.830894,5.885153,1.406117,-1.877662,-37.553245,0.692964
0.050000,5.600409,0.872217,5.952959,1.306117,-2.000000,-2.446755,0.616060
0.050000,5.653067,0.906415,6.015765,1.206117,-2.000000,0.000000,0.534300
0.050000,5.703962,0.933788,6.073570,1.106117,-2.000000,-0.000000,0.451608
0.050000,5.752338,0.954925,6.126376,1.006117,-2.000000,0.000000,0.371755
0.050000,5.797479,0.970631,6.174182,0.906117,-2.000000,0.000000,0.297770
0.050000,5.838787,0.981825,6.216988,0.806117,-2.000000,-0.000000,0.231626
0.050000,5.875813,0.989439,6.254794,0.706117,-2.000000,-0.000000,0.174272
0.050000,5.908247,0.994340,6.287600,0.606117,-2.000000,0.000000,0.125887
0.050000,5.935895,0.997279,6.315406,0.506117,-2.000000,-0.000000,0.086178
0.050000,5.958644,0.998882,6.338211,0.406117,-2.000000,0.000000,0.054634
0.050000,5.976433,0.999640,6.356017,0.306117,-2.000000,-0.000000,0.030699
0.050000,5.989236,0.999926,6.368823,0.206117,-2.000000,-0.000000,0.013879
0.050000,5.997041,0.999994,6.376629,0.106117,-2.000000,0.000000,0.003791
0.050000,5.999847,1.000000,6.379435,0.006117,-2.000000,-0.000000,0.000195
0.050000,6.000000,1.000000,6.379588,0.000000,-0.122338,37.553245,0.000000
0.050000,6.000000,1.000000,6.379588,0.000000,0.000000,2.446755,0.000000
